38 3
1.000000 0.000000 0.000000
1.000000 0.108108 0.005844
1.000000 0.216216 0.023375
1.000000 0.324324 0.052593
1.000000 0.432432 0.093499
1.000000 0.540541 0.146092
1.000000 0.648649 0.210373
1.000000 0.756757 0.286341
1.000000 0.864865 0.373996
1.000000 0.972973 0.473338
1.000000 1.081081 0.584368
1.000000 1.189189 0.707085
1.000000 1.297297 0.841490
1.000000 1.405405 0.987582
1.000000 1.513514 1.145362
1.000000 1.621622 1.314829
1.000000 1.729730 1.495983
1.000000 1.837838 1.688824
1.000000 1.945946 1.893353
1.000000 2.054054 2.109569
1.000000 2.162162 2.337472
1.000000 2.270270 2.577063
1.000000 2.378378 2.828341
1.000000 2.486486 3.091306
1.000000 2.594595 3.365962
1.000000 2.702703 3.652302
1.000000 2.810811 3.950329
1.000000 2.918919 4.260044
1.000000 3.027027 4.581446
1.000000 3.135135 4.914536
1.000000 3.243243 5.259313
1.000000 3.351351 5.615777
1.000000 3.459459 5.983928
1.000000 3.567568 6.363771
1.000000 3.675676 6.755297
1.000000 3.783784 7.158511
1.000000 3.891892 7.573412
1.000000 4.000000 8.000000
